HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
102333,      23.7748,A6:var,      2.41264,2,      1.95586,     0.181012,     0.111330,    0.0231460,   0.00548154,   0.00121996,      0.00000,    0.0256134,    0.0418173,    0.0146707,    0.0213449,    0.0369763,    0.0653553,   0.00453457,    0.0100862,    0.0319647,   0.00787472,    0.0103674,    0.0429616
111802,      8.89942,M0Vpe,      1.85114,2,     0.169642,     0.261980,     0.370961,    0.0333851,  6.86043e-05,    0.0128977,  0.000337911,   0.00371732,    0.0525859,    0.0474671,   0.00573785,    0.0347280,    0.0971787,   0.00201647,    0.0115495,    0.0463621,   0.00793659,    0.0128560,    0.0454681
50384,      22.3317,F8Vw,     0.337671,2,      1.24034,     0.434265,     0.317233,    0.0550062,    0.0167628,    0.0283143,  4.68232e-06,    0.0187960,    0.0546034,    0.0339110,    0.0215843,    0.0262456,    0.0712380,   0.00580953,   0.00762277,    0.0372561,   0.00950555,   0.00845783,    0.0459066
114948,      20.4599,F7V,      3.49589,2,      1.12090,     0.421631,     0.355614,    0.0531699,    0.0203427,    0.0256725,  3.53083e-05,    0.0232060,    0.0521263,    0.0300569,    0.0225935,    0.0268020,    0.0647560,   0.00719374,   0.00690172,    0.0337033,    0.0100044,   0.00741661,    0.0431058
94761,      5.91160,M3.5V,      7.28031,3,     0.114610,     0.239829,     0.208358,    0.0301539,   0.00131361,    0.0270969,   0.00715418,   0.00364901,    0.0176282,    0.0550813,   0.00226098,   0.00764734,    0.0621735,   0.00284489,   0.00175534,    0.0334333,   0.00375220,  0.000740992,    0.0279075
110649,      20.4540,F9V,      1.90272,2,      1.53125,     0.443932,     0.189095,    0.0557830,    0.0365996,    0.0244154,  6.22969e-07,    0.0287729,    0.0569522,    0.0260403,    0.0337640,    0.0233368,    0.0640222,   0.00764775,   0.00556831,    0.0315085,   0.00964304,   0.00568666,    0.0433354
47592,      14.8216,G0V,      50.7565,1,      0.00000,     0.626611,     0.789380,    0.0786972,    0.0802887,    0.0260043,      0.00000,     0.137613,     0.118628,    0.0190811,     0.153262,     0.185674,    0.0566202,    0.0362727,    0.0712395,    0.0341165,    0.0452429,    0.0982999,    0.0598442
38423,      18.2563,F3/F5V,      2.24766,1,      0.00000,     0.205526,     0.560031,    0.0257326,   0.00119564,   0.00144776,      0.00000,    0.0205666,    0.0818178,    0.0401247,    0.0213508,     0.163454,     0.229431,   0.00556326,    0.0599831,     0.139019,    0.0156046,    0.0851854,     0.201389
54211,      4.84801,M2Vvar,      150.883,2,    0.0845490,     0.436084,     0.243914,    0.0543818,   0.00496407,    0.0254052,  0.000261084,    0.0143582,    0.0522499,    0.0535534,    0.0256073,    0.0297875,    0.0859834,   0.00889883,   0.00780847,    0.0425259,   0.00862126,   0.00812915,    0.0416406
106440,      4.96506,M1V,      2.88992,3,     0.117751,     0.209357,    0.0415504,    0.0260401,    0.0201060,    0.0314693,   0.00648370,    0.0150889,    0.0116599,    0.0288318,    0.0150858,   0.00180552,    0.0339528,   0.00366306,  0.000959148,    0.0217835,   0.00328324,  0.000509076,    0.0236419
109821,      22.3764,G5V,     0.758687,2,     0.921307,     0.390086,     0.259555,    0.0484900,   0.00649877,    0.0246554,  3.17112e-05,   0.00950968,    0.0528438,    0.0376356,   0.00781473,    0.0346437,    0.0838415,   0.00336134,   0.00974733,    0.0413634,   0.00826402,    0.0111223,    0.0437974
41926,      12.1818,K0V,      5.84417,3,     0.642811,     0.252087,    0.0656388,    0.0313170,   0.00908832,    0.0257063,   0.00533047,    0.0108755,    0.0223584,    0.0197824,   0.00645204,    0.0216542,    0.0185403,   0.00281085,   0.00653582,    0.0112116,   0.00499824,   0.00668983,    0.0103599
22449,      8.04189,F6V,      3.59093,5,      3.09627,    0.0973777,   0.00363934,    0.0120780,    0.0119550,   0.00871807,  0.000335077,   0.00461280,   0.00867625,   0.00754311,   0.00630695,   0.00296267,    0.0159548,   0.00115686,  0.000457382,   0.00721269,   0.00101904,  0.000520292,   0.00859813
77760,      15.8321,F9V,      2.58507,3,      1.92923,     0.191763,    0.0492009,    0.0237823,    0.0182273,    0.0145214,  2.86968e-05,    0.0214015,    0.0196859,    0.0124755,    0.0148380,    0.0116013,    0.0193822,   0.00288143,   0.00467610,    0.0110790,   0.00462522,   0.00453479,    0.0133098
12843,      14.1353,F5/F6V,      4.46484,3,      3.00030,     0.188634,    0.0444009,    0.0233801,    0.0181659,    0.0203869,  0.000311143,    0.0161940,    0.0159446,    0.0327891,    0.0167846,   0.00609136,    0.0461077,   0.00426653,   0.00209356,    0.0244395,   0.00530879,   0.00199180,    0.0251038
57757,      11.1203,F8V,      150.332,2,      1.34470,     0.402150,     0.301945,    0.0498353,    0.0362271,    0.0138345,      0.00000,    0.0474332,    0.0558466,    0.0109709,    0.0416471,    0.0363935,    0.0367849,   0.00873444,   0.00924511,    0.0208612,   0.00943053,   0.00893685,    0.0364795
107350,      18.1281,G0V,      7.38635,2,     0.902408,     0.461906,     0.322493,    0.0571515,    0.0102349,    0.0310743,  0.000379810,    0.0167574,    0.0535637,    0.0432324,    0.0207271,    0.0274025,    0.0771893,   0.00619703,   0.00800889,    0.0405168,    0.0100786,   0.00891888,    0.0467828
55779,      27.5175,F7V,     0.157177,1,      0.00000,     0.236156,     0.143235,    0.0292097,  0.000128970,   0.00212291,  2.00958e-05,   0.00872619,    0.0833437,    0.0456217,   0.00710983,     0.152700,     0.256877,   0.00105978,    0.0545125,     0.157711,   0.00756089,    0.0796233,     0.217786
79248,      17.9416,K0V,      2.88911,2,     0.251076,     0.419041,     0.250207,    0.0517775,   0.00320237,    0.0282591,  0.000848123,   0.00858098,    0.0562930,    0.0246224,   0.00609600,    0.0552819,    0.0434846,   0.00212055,    0.0173169,    0.0216505,   0.00677057,    0.0195597,    0.0234378
3505,      27.2472,F0V,     0.123055,1,      0.00000,     0.429765,     0.262736,    0.0530759,    0.0574403,    0.0131508,  2.00958e-05,     0.102050,     0.108895,    0.0201429,     0.101406,     0.190960,    0.0903749,    0.0240012,    0.0702749,    0.0544310,    0.0328342,    0.0965316,    0.0868421
7751,      8.18777,K0V,     0.903201,3,     0.584703,     0.122111,   0.00676234,    0.0150152,    0.0200200,    0.0191919,   0.00726885,    0.0131084,   0.00912735,    0.0221775,    0.0142478,   0.00875688,    0.0271242,   0.00410041,   0.00275527,    0.0160708,   0.00444471,   0.00274382,    0.0187616
111449,      22.9455,F7V,     0.967507,2,      1.45469,     0.465607,     0.334263,    0.0571039,    0.0419713,    0.0253976,      0.00000,    0.0355064,    0.0581475,    0.0204578,    0.0301117,    0.0275913,    0.0557055,   0.00771825,   0.00664471,    0.0277269,   0.00984797,   0.00635068,    0.0384567
12114,      7.23545,K3V,     0.258520,3,     0.502760,     0.121203,   0.00235911,    0.0148623,    0.0202416,    0.0224360,   0.00958135,    0.0135504,   0.00878086,    0.0232780,    0.0156982,   0.00843100,    0.0278708,   0.00445532,   0.00265905,    0.0164708,   0.00449189,   0.00263559,    0.0191968
45343,      6.33394,M0V,      150.345,2,     0.184532,     0.436317,     0.113487,    0.0535023,  0.000909247,    0.0289414,   0.00233612,   0.00459820,    0.0503750,    0.0673847,    0.0144892,    0.0344750,    0.0926870,   0.00671782,    0.0104054,    0.0455838,    0.0111692,    0.0115901,    0.0444915
86614,      22.8363,F5IV-V,      4.21886,2,      1.83874,     0.227257,     0.139469,    0.0277859,   0.00639949,   0.00237210,      0.00000,    0.0257595,    0.0442487,    0.0160434,    0.0212315,    0.0359234,    0.0662996,   0.00466273,   0.00999580,    0.0328284,   0.00819381,    0.0103542,    0.0429267
39903,      19.9800,F5V,      10.0447,2,      1.59878,     0.353363,     0.316941,    0.0431883,   0.00735728,   0.00969015,      0.00000,    0.0203378,    0.0531475,    0.0236980,    0.0150014,    0.0347013,    0.0755975,   0.00517997,   0.00978283,    0.0383286,   0.00937669,    0.0105333,    0.0458370
