HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas), nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      4151.00,      13.2675,      61.1240,      5.43000,      5.34000,      4.80000,      4.32000,      4.19000,      3.85000,      3.56000,      3.54000,      3.42913,      18.8007,F8V,      3.63259,     0.828639,      1.44565,      144.600,      4.94000,           1,           1,      101.376,      8.15501,      4.24493,      1.65836,     0.150508,     0.606685
      5862.00,      18.7963,     -45.5317,      5.65000,      5.54100,      4.97000,      4.47000,      4.35000,      4.00000,      3.71000,      3.67000,      4.06408,      15.1769,F8V,      2.04585,     0.794669,      1.22693,          NaN,          NaN,           1,           1,      94.2440,      2.33512,      2.93376,     0.826177,     0.218441,     0.880518
      7339.00,      23.6386,      68.9481,          NaN,      7.20600,      6.52000,      6.10000,      5.78000,      5.29600,      4.94100,      4.88800,      4.90313,      21.0559,G6V,     0.985255,     0.446293,     0.995765,          NaN,          NaN,           1,           1,      47.1412,     0.190346,      1.79258,      1.60532,     0.127999,     0.515955
      7513.00,      24.1993,      41.4055,      4.70000,      4.63600,      4.10000,      3.64000,      3.52000,      3.17000,      2.96000,      2.86000,      3.46285,      13.4100,F8V,      3.51554,      1.13847,      1.43218,      110.300,      8.45000,           3,           1,      139.819,      2.21254,      1.68647,     0.332432,     0.181909,     0.733259
      7751.00,      24.9481,     -56.1964,          NaN,      6.64000,      5.76000,          NaN,      4.83000,          NaN,          NaN,          NaN,      6.19417,      8.18777,K0V,     0.345432,     0.817769,     0.738080,      11.5000,     0.120000,           1,           1,      71.7820,     0.903201,      1.87820,     0.165260,     0.219848,     0.886192
      7978.00,      25.6221,     -53.7408,          NaN,      6.07100,      5.52000,          NaN,      4.90000,      4.79000,      4.40000,      4.34000,      4.32421,      17.3444,F8V,      1.60009,     0.602537,      1.14374,          NaN,          NaN,           1,           1,      72.9311,      1.08430,      3.05484,      1.16253,     0.216515,     0.872754
      7981.00,      25.6240,      20.2685,      6.57000,      6.07600,      5.24000,      4.55000,      4.36000,      3.83000,      3.39000,      3.25000,      5.83447,      7.60512,K1V,     0.462632,     0.976510,     0.802330,      54.1000,      6.36000,           1,           1,      89.4359,      2.86923,      1.45634,     0.102780,     0.246712,     0.994475
      8102.00,      26.0170,     -15.9375,      4.43000,      4.21700,      3.49000,      2.88000,      2.67000,      2.14000,      1.72000,      1.68000,      5.70644,      3.60339,G8V,     0.486334,      1.89498,     0.813866,      137.000,      10.3200,           3,           3,      193.533,      146.257,      1.54460,     0.105718,     0.246907,     0.995264
      10138.0,      32.6081,     -50.8237,          NaN,      6.93200,      6.12000,      6.10000,      5.24000,      4.79000,      4.25000,      4.12500,      5.95550,      10.7870,K0V,     0.405432,     0.630193,     0.772639,      2.40000,      7.03000,           1,           1,      59.0280,      1.88376,      1.95302,     0.439002,     0.196294,     0.791245
      10644.0,      34.2635,      34.2242,      5.50000,      5.44700,      4.84000,      4.50000,      4.08000,      3.53000,      3.29000,      3.08000,      4.63151,      11.0078,G0V,      1.23026,     0.880196,      1.06100,      0.00000,          NaN,           1,           1,      100.762,      7.90621,      2.28822,     0.505124,     0.228187,     0.919806
