HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
16537,      3.20288,K2V,      297.000,2,     0.390315,     0.298273,     0.100226,    0.0683744,     0.102673,    0.0610654,   0.00924402,    0.0524168,    0.0451632,    0.0481361,    0.0318986,    0.0178922,    0.0837385,   0.00408688,   0.00329303,    0.0384213,   0.00293494,   0.00217984,    0.0239138
106440,      4.96506,M1V,      2.88992,1,      0.00000,     0.541553,     0.273205,     0.119165,    0.0506674,    0.0792994,    0.0179385,     0.119808,     0.159851,     0.288362,     0.120544,     0.195685,     0.833839,    0.0252285,    0.0698736,     0.653465,    0.0267324,    0.0953934,     0.606417
61317,      8.61105,G0V,      2.56568,2,     0.782410,     0.298727,     0.111187,    0.0657182,    0.0918781,    0.0612923,   0.00403570,    0.0511259,    0.0445260,    0.0425531,    0.0318737,    0.0172632,    0.0599465,   0.00447274,   0.00345458,    0.0363537,   0.00384893,   0.00252167,    0.0311031
86162,      4.54999,M3.5Vvar,      2.14840,1,      0.00000,     0.419470,     0.454441,    0.0920805,    0.0154263,    0.0659584,    0.0257167,    0.0673397,     0.150570,     0.335692,    0.0640633,     0.183716,     0.917132,    0.0119409,    0.0654002,     0.764978,    0.0130917,    0.0895890,     0.673300
56452,      9.54355,K0V,     0.446578,2,     0.404902,     0.277138,     0.193883,    0.0607443,    0.0576064,    0.0558615,   0.00538354,    0.0414340,    0.0426976,    0.0463244,    0.0322996,    0.0197782,    0.0623431,   0.00620167,   0.00456959,    0.0291169,   0.00540369,   0.00409053,    0.0219195
109176,      11.7975,F5V,     0.963083,2,      1.28963,     0.289077,     0.143374,    0.0632297,     0.113227,    0.0286823,      0.00000,    0.0615222,    0.0600113,    0.0237174,    0.0356893,    0.0256038,    0.0629058,   0.00467137,   0.00458812,    0.0328646,   0.00355524,   0.00300912,    0.0437944
51459,      12.9141,F8V,     0.787925,1,      0.00000,     0.573431,     0.665044,     0.124629,     0.270311,    0.0808857,   0.00452085,     0.273070,     0.164845,     0.151019,     0.273287,     0.209679,     0.432193,    0.0527718,    0.0753415,     0.270832,    0.0549424,     0.101920,     0.361428
102485,      14.2448,F5V,     0.148761,1,      0.00000,     0.363510,     0.290249,    0.0784616,     0.270821,    0.0273016,  2.00958e-05,     0.298816,     0.133069,    0.0595817,     0.307310,     0.204525,     0.270141,    0.0581298,    0.0750385,     0.165838,    0.0594918,     0.102110,     0.277998
14632,      10.5088,G0V,     0.497077,2,      1.11063,     0.346689,     0.137250,    0.0741820,     0.108127,    0.0582994,   0.00129642,    0.0568517,    0.0566518,    0.0401583,    0.0337327,    0.0204343,    0.0687570,   0.00461504,   0.00382506,    0.0381499,   0.00380681,   0.00274348,    0.0421048
64924,      8.50535,G5V,      2.55783,2,     0.671630,     0.331501,     0.123727,    0.0699159,    0.0891027,    0.0673907,   0.00719928,    0.0484007,    0.0460438,    0.0534473,    0.0337328,    0.0178293,    0.0669927,   0.00497096,   0.00356415,    0.0385808,   0.00435503,   0.00277423,    0.0350909
