HIP,vmag,dist (pc),Type,EEID (mas),nexozodis (zodis),Detection Coronagraph ID,Characterization Coronagraph ID,Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      79537.0,      7.53000,      13.6191,K0V,      30.8333,      10.3837,           1,           4,      1.60260,      1.86993,    0.0990680,     0.399335
      79607.0,      5.23000,      22.6580,F8V,      84.0042,      2.61571,           2,           1,      2.40279,      3.12144,     0.149284,     0.601753
      79672.0,      5.49000,      14.1308,G1V,      75.0445,     0.988448,           2,           1,      2.00045,     0.397514,     0.241210,     0.972298
      80337.0,      5.37000,      12.9080,G3/G5V,      79.1774,      6.70379,           2,           1,      1.93686,     0.513366,     0.237445,     0.957123
      80459.0,      10.1300,      6.47371,M2,      23.8165,     0.483627,           1,           4,      2.17143,      1.38678,     0.169314,     0.682493
      80686.0,      4.90000,      12.1768,F9V,      97.1020,    0.0680988,           3,           1,      1.05515,     0.205065,     0.244042,     0.983716
      80824.0,      10.1000,      4.30646,M4,      24.9444,      2.97304,           1,           4,      1.65372,     0.512032,     0.229819,     0.926382
      81300.0,      5.77000,      9.91954,K2V,      69.6931,      17.8411,           2,           1,      1.57700,     0.339500,     0.240451,     0.969238
      82588.0,      6.65000,      16.7959,G8V,      45.3721,      10.1799,           2,           1,      2.61120,      1.36553,     0.156180,     0.629548
      82860.0,      4.88000,      15.0841,F6Vvar,      96.5586,      6.61753,           3,           1,      1.78699,     0.833424,     0.223652,     0.901525
      83389.0,      6.76000,      18.2937,G8V,      42.9357,      2.85091,           2,           1,      2.31896,      1.29580,     0.155377,     0.626311
      83609.0,      9.25000,      5.61545,G0,      13.2221,      1.76720,           4,           4,      1.58728,     0.787342,     0.219675,     0.885494
      84478.0,      6.33000,      5.94994,K5V,      66.8262,      146.757,           2,           1,      1.86542,     0.279455,     0.237681,     0.958073
      84720.0,      5.47000,      8.78613,M0V,      78.6611,      38.1875,           2,           1,      1.80668,     0.382868,     0.242582,     0.977829
      84893.0,      4.39000,      17.0643,F2/F3V,      120.100,      10.6470,           3,           1,      1.75986,      2.74404,     0.134330,     0.541475
      85235.0,      6.44000,      12.7934,K0V,      50.1970,      2.51637,           2,           1,      1.56969,     0.338534,     0.241904,     0.975097
      85295.0,      7.54000,      7.71467,K7V,      45.0274,      2.67974,           2,           1,      1.14244,     0.131981,     0.238747,     0.962369
      85523.0,      9.38000,      4.54957,K5,      30.2637,      4.91189,           1,           4,      1.45931,     0.618711,     0.243437,     0.981276
      86162.0,      9.15000,      4.54999,M3.5Vvar,      28.7357,      2.14840,           1,           4,      1.22201,     0.575833,     0.246563,     0.993877
      86201.0,      4.77000,      23.2522,F5V,      101.218,      2.09441,           3,           1,      1.32831,     0.477450,     0.114042,     0.459696
      86400.0,      6.53000,      10.0868,K3V,      52.1985,      1.14254,           2,           1,      1.46763,     0.103998,     0.247300,     0.996847
      86486.0,      4.76000,      21.2309,F3IV,      101.654,    0.0216457,           3,           1,     0.999415,     0.360897,     0.143543,     0.578609
      86614.0,      4.57000,      22.8363,F5IV-V,      110.957,      4.21886,           3,           1,      1.43827,     0.536443,    0.0983954,     0.396624
      86620.0,      5.81000,      22.7337,G0V,      63.5332,      2.62815,           2,           1,      2.52406,      1.23837,     0.174023,     0.701474
      86736.0,      4.86000,      17.1245,F6/F7V,      97.2900,      2.07662,           3,           1,      1.40280,     0.614823,     0.201552,     0.812441
