HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
80824,      4.30646,M4,      2.97304,3,    0.0643485,     0.266548,     0.195467,    0.0219778,  0.000348988,    0.0162012,   0.00330003,   0.00812420,    0.0190222,    0.0337965,    0.0112626,   0.00799725,    0.0373677,   0.00170499,   0.00329274,    0.0186809,   0.00188131,   0.00356447,   0.00962796
3821,      5.83819,G0VSB,     0.732871,3,      1.67751,     0.142151,   0.00477949,    0.0117181,    0.0345849,    0.0281480,   0.00818753,    0.0181405,   0.00637368,    0.0350498,    0.0127718,   0.00142646,    0.0491267,   0.00150217,  0.000367833,    0.0237139,   0.00117077,  0.000198401,    0.0238990
37349,      14.1001,K2V,      1.35976,3,     0.512594,     0.273164,     0.288736,    0.0224991,   0.00973595,    0.0152921,  0.000557497,    0.0217618,    0.0193225,    0.0256431,    0.0136307,   0.00997584,    0.0213209,   0.00300948,   0.00293786,    0.0120898,   0.00279014,   0.00308777,   0.00856273
34069,      17.0533,K0V,     0.543836,3,     0.701616,     0.200862,     0.300532,    0.0165008,   0.00799030,   0.00659415,  0.000143283,    0.0234007,    0.0155523,   0.00889764,    0.0153415,   0.00868864,    0.0148347,   0.00278962,   0.00276219,   0.00796439,   0.00287125,   0.00265330,   0.00566572
114924,      20.5503,F7V,      6.11290,1,      0.00000,     0.598829,     0.629391,    0.0490808,    0.0571133,   0.00846485,      0.00000,     0.179764,     0.120963,    0.0400366,     0.215939,     0.196604,     0.182396,    0.0440828,    0.0729674,     0.106071,    0.0467808,     0.100406,     0.166476
69972,      11.8408,K3V,      1.78797,3,     0.604222,     0.302495,    0.0721531,    0.0247192,    0.0275645,    0.0178449,   0.00244656,    0.0238809,    0.0107532,    0.0197098,    0.0128784,   0.00549922,    0.0176292,   0.00266875,   0.00163327,    0.0102969,   0.00248272,   0.00155066,   0.00933654
50505,      20.2503,G5,      1.74939,1,      0.00000,     0.327363,     0.423882,    0.0266811,    0.0114511,   0.00922366,      0.00000,    0.0950345,     0.119051,    0.0845876,     0.135136,     0.190227,     0.368400,    0.0298891,    0.0699002,     0.231564,    0.0326016,    0.0961744,     0.294175
54211,      4.84801,M2Vvar,      150.883,2,    0.0922353,     0.308305,     0.235286,    0.0249960,  0.000265092,   0.00447437,  0.000744690,    0.0173554,    0.0546103,    0.0607449,    0.0316836,    0.0323816,     0.104971,   0.00522166,   0.00933608,    0.0449762,   0.00534829,   0.00917156,    0.0298295
950,      21.6480,F3/F5V,      2.72662,2,      1.33448,     0.546368,     0.415185,    0.0442524,    0.0500613,    0.0120852,  3.41628e-07,    0.0528075,    0.0571182,    0.0186839,    0.0371916,    0.0276662,    0.0586504,   0.00594518,   0.00531964,    0.0308831,   0.00521254,   0.00372975,    0.0409537
96258,      25.3469,F7V,     0.616570,2,      1.24550,     0.431573,     0.294782,    0.0349263,    0.0316581,   0.00934392,  2.71896e-05,    0.0506528,    0.0540942,    0.0211346,    0.0373872,    0.0295471,    0.0676976,   0.00655901,   0.00599760,    0.0341806,   0.00575616,   0.00473534,    0.0389406
19884,      13.0574,K5V,      2.33436,2,     0.143047,     0.258762,     0.276813,    0.0209285,   0.00183265,    0.0101807,  0.000353485,    0.0250128,    0.0485362,    0.0209441,    0.0316681,    0.0370301,    0.0402459,   0.00606484,   0.00966102,    0.0194196,   0.00636388,    0.0102063,    0.0171216
30314,      23.8896,G1V,     0.251238,1,      0.00000,     0.337375,     0.440060,    0.0272579,    0.0189129,    0.0136881,      0.00000,     0.109648,     0.119839,    0.0718168,     0.146690,     0.192809,     0.335672,    0.0319609,    0.0704820,     0.210488,    0.0347212,    0.0968042,     0.277982
85523,      4.54957,K5,      4.91189,4,     0.140512,     0.186823,    0.0868692,    0.0150399,   0.00148704,   0.00740243,   0.00187849,   0.00716207,   0.00419879,    0.0100370,   0.00825760,   0.00248287,    0.0120002,   0.00211127,  0.000761990,   0.00789115,   0.00218260,  0.000692121,   0.00486285
107350,      18.1281,G0V,      7.38635,2,     0.820371,     0.494231,     0.438245,    0.0396491,    0.0242775,   0.00901864,  2.99427e-05,    0.0462110,    0.0598199,    0.0318237,    0.0379339,    0.0293869,    0.0792039,   0.00709153,   0.00585919,    0.0369594,   0.00593234,   0.00471252,    0.0373025
104214,      3.49717,K5V,      10.2321,3,     0.322829,    0.0915299,  0.000821729,   0.00733651,    0.0278361,    0.0117702,   0.00527635,    0.0147340,   0.00402884,    0.0112022,    0.0121329,   0.00279991,    0.0150444,   0.00215070,  0.000947924,    0.0126102,   0.00200614,  0.000749687,   0.00759857
50954,      16.1427,F2IV,    0.0862800,3,      3.29606,     0.235794,    0.0337419,    0.0188817,    0.0511616,   0.00573178,      0.00000,    0.0240919,    0.0186319,    0.0157377,    0.0127237,  0.000919626,    0.0470181,   0.00145701,  0.000136537,    0.0240648,   0.00100460,  7.65587e-05,    0.0298668
91772,      3.52283,K5,      150.968,2,    0.0211023,     0.294996,     0.217914,    0.0235856,  9.51491e-05,   0.00792837,  0.000668868,    0.0110610,    0.0520102,    0.0289019,    0.0148164,    0.0452650,    0.0415619,   0.00296550,    0.0122961,    0.0171367,   0.00354761,    0.0138711,    0.0158112
95501,      15.5255,F0IV,      10.2654,1,      0.00000,     0.245076,    0.0742206,    0.0195479,    0.0780083,  0.000548364,  2.00958e-05,     0.217217,    0.0728528,    0.0137211,     0.274671,     0.186925,    0.0949073,    0.0562111,    0.0727185,    0.0688438,    0.0598084,     0.101246,     0.122126
