HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
102333,311.01,-51.921,          NaN,4.788,4.51,          NaN,4.21,3.909,3.692,3.82,2.62942,23.7748,A6:var,7.10778,0.675991,1.75127,          NaN,          NaN,3,1,112.137,2.41264,1.12425,0.429875,0.0832283,0.335487
102422,311.322,61.8388,4.96,4.322,3.41,2.76,2.47,1.82,1.504,1.24,2.62504,14.3547,K0IV,9.43981,2.52952,1.89916,45.9,7.87,3,3,214.036,4.9668,0.708395,0.0233943,0.0503044,0.202773
102485,311.524,-25.2709,          NaN,4.556,4.13,          NaN,3.64,3.363,3.104,3.094,3.36172,14.2448,F5V,3.74894,0.98363,1.45873,          NaN,          NaN,3,2,135.925,0.148761,0.739637,0.171259,0.183186,0.73841
103096,313.332,62.1544,          NaN,10.033,8.55,7.7,6.58,5.429,4.919,4.618,9.31196,7.04056,M2V,0.0612807,0.757127,0.45032,102.9,0.41,1,1,35.1605,4.33093,1.9753,0.285727,0.127751,0.514954
104214,316.725,38.7494,7.5,6.269,5.2,4.19,4.07,3.12,2.5,2.68,7.48142,3.49717,K5V,0.129862,1.43334,0.558096,31.4,0.85,3,1,103.044,10.2321,0.598978,0.0214213,0.248066,0.999935
104217,316.73,38.7421,8.63,7.359,6.05,4.86,4.78,3.55,2.86,2.32,8.33294,3.49472,K7V,0.0889313,1.57301,0.500876,31.4,-0.85,2,1,85.3326,4.53856,0.74757,0.0200624,0.247365,0.99711
105090,319.314,-38.8674,9.21,8.087,6.69,          NaN,4.92,4.046,3.256,3.1,8.69553,3.97094,M1/M2V,0.0774139,1.4392,0.481415,          NaN,          NaN,2,1,70.0674,10.7658,0.711406,0.023857,0.24797,0.999547
105858,321.611,-65.3662,4.57,4.704,4.21,3.75,3.6,3.27,2.98,2.91,4.37415,9.27192,F6V,1.49187,1.02973,1.12108,          NaN,          NaN,3,2,131.733,143.554,2.8407,1.26548,0.22372,0.901798
106440,323.392,-49.009,11.359,10.181,8.66,7.665,6.48,5.349,4.766,4.501,10.1804,4.96506,M1V,0.0356183,0.794106,0.385649,          NaN,          NaN,1,1,38.0112,2.88992,1.27727,0.239523,0.189829,0.765185
107350,326.131,14.7719,          NaN,6.547,5.96,6.16,5.3,4.79,4.6,4.56,4.66824,18.1281,G0V,1.17662,0.513276,1.04757,43.2,10.5,2,1,59.8365,7.38635,3.00051,1.2764,0.206036,0.830516
107556,326.76,-16.1273,3.22,3.03,2.85,2.59,2.5,2.34,2.063,2.14,2.17777,13.6284,A5mF2(IV),10.8565,1.23842,1.97657,49.9,12.13,3,3,241.769,0.897394,0.496721,0.0139974,0.0374769,0.151067
107649,327.066,-47.3036,          NaN,6.171,5.57,          NaN,4.91,4.72,4.306,4.236,4.60984,15.5608,G2V,1.25087,0.624464,1.06604,79,3.12,2,1,71.8744,4.66127,2.28621,0.817947,0.229907,0.926736
