HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
53721,164.867,40.4303,          NaN,5.654,5.03,4.7,4.34,3.96,3.736,3.75,4.33028,13.8021,G0V,1.63304,0.822826,1.15042,          NaN,          NaN,1,1,92.5877,2.35947,3.96906,2.1491,0.214866,0.86611
54035,165.834,35.9699,10.03,8.992,7.49,5.99,5.42,4.2,3.64,3.34,10.46,2.54686,M2V,0.0242079,1.29542,0.345361,          NaN,          NaN,1,1,61.0905,1.78908,1.149,0.033858,0.247985,0.999607
56452,173.623,-32.8313,          NaN,6.771,5.96,7.17,5.08,4.78,4.14,4.02,6.06145,9.54355,K0V,0.367746,0.677468,0.751399,15.8,8.92,1,1,63.5425,0.446578,1.91209,0.774958,0.243217,0.980387
56997,175.263,34.2016,6.31,6.033,5.31,4.73,4.53,4.01,3.61,3.588,5.4033,9.57942,G8Vvar,0.641985,0.815514,0.881063,158.7,5.96,1,1,83.6418,1.82375,2.42236,0.702766,0.243406,0.981152
57443,176.629,-40.5004,5.65,5.554,4.89,4.35,4.16,3.74,3.37,3.31,5.04949,9.29187,G3/G5V,0.853493,0.920551,0.955747,22.9,9.6,1,1,99.4253,4.81943,2.98758,0.917702,0.241554,0.973684
57939,178.245,37.7187,7.38,7.174,6.42,5.8,5.54,4.94,4.5,4.37,6.60624,9.17809,G8Vp,0.215218,0.508672,0.644754,          NaN,          NaN,1,1,50.546,4.534,2.48511,1.93588,0.228774,0.92217
58576,180.185,-10.446,6.76,6.3,5.54,          NaN,4.76,4.28,3.91,3.87,5.02143,12.6974,K0IV,0.931543,0.768737,0.979943,          NaN,          NaN,1,1,76.0128,2.45419,3.12077,1.94685,0.209748,0.845478
59199,182.103,-24.7289,          NaN,4.354,4.02,          NaN,3.62,3.525,3.364,3.307,3.1463,14.9534,F0IV/V,4.44102,0.91779,1.53107,          NaN,          NaN,1,1,140.929,1.29485,2.27947,1.093,0.154612,0.62323
61174,188.018,-16.196,          NaN,4.688,4.3,          NaN,3.86,3.609,3.372,3.37,3.02831,17.9613,F2V,5.03927,0.866839,1.58736,          NaN,          NaN,1,1,124.982,6.70044,4.06061,2.46717,0.104673,0.421928
61317,188.436,41.3575,4.91,4.828,4.24,3.73,3.57,3.2,2.88,2.72,4.56472,8.61105,G0V,1.29453,1.13465,1.07654,0.1,          NaN,1,1,132.13,2.56568,2.2201,0.43231,0.243762,0.982587
62207,191.248,39.2789,6.47,6.507,5.95,5.41,5.3,4.89,4.667,4.465,4.72674,17.5652,G0V,1.10675,0.497789,1.0294,          NaN,          NaN,1,1,59.8924,1.2028,2.89634,2.73738,0.12717,0.51261
64394,197.968,27.8782,4.92,4.802,4.23,3.77,3.56,3.2,2.91,2.87,4.41504,9.18315,G0V,1.48114,1.11866,1.11877,126.5,7.8,1,1,132.528,2.70214,2.49116,0.553573,0.242223,0.976383
64792,199.194,9.42416,          NaN,5.775,5.19,4.8,4.55,4.392,4.107,4.033,3.97008,17.5381,G0Vs,2.23746,0.730012,1.25872,2.5,15.38,1,1,85.2894,0.638581,3.71485,2.87155,0.176856,0.712892
