Wavelength [nm] , Vis Channel % Throughput , IR Channel % throughput
      1680.00,      0.00000,      67.2247
      1685.00,      0.00000,      67.2634
      1690.00,      0.00000,      67.3270
      1695.00,      0.00000,      67.3651
      1700.00,      0.00000,      67.4277
      1705.00,      0.00000,      67.4564
      1710.00,      0.00000,      67.5050
      1715.00,      0.00000,      67.5331
      1720.00,      0.00000,      67.5810
      1725.00,      0.00000,      67.6086
      1730.00,      0.00000,      67.6557
      1735.00,      0.00000,      67.6827
      1740.00,      0.00000,      67.7291
      1745.00,      0.00000,      67.7556
      1750.00,      0.00000,      67.8012
      1755.00,      0.00000,      67.8272
      1760.00,      0.00000,      67.8720
      1765.00,      0.00000,      67.8975
      1770.00,      0.00000,      67.9415
      1775.00,      0.00000,      67.9665
      1780.00,      0.00000,      68.0098
      1785.00,      0.00000,      68.0343
      1790.00,      0.00000,      68.0768
      1795.00,      0.00000,      68.1008
      1800.00,      0.00000,      68.1427
